"Species","Longitude","Latitude"
"mus",78.81666667,15.96666667
"mus",78.81666667,15.58333333
"mus",80.25,16.41666667
"mus",79.11666667,15.56666667
"mus",78.58333333,15.88333333
"mus",80.01666667,13.7
"mus",79.41666667,13.65
"mus",79.31666667,13.58333333
"mus",78.35,19.1
"mus",78.46666667,17.25
"mus",78.46666667,17.36666667
"mus",79.66666667,18.65
"mus",78.83333333,16.46666667
"mus",78.68333333,16.28333333
"mus",78.76666667,16.36666667
"mus",78.25,17.75
"mus",78.08333333,17.61666667
"mus",78.93333333,16.7
"mus",79.21666667,16.5
"mus",80.16666667,18.2
"mus",72.43333333,24.16666667
"mus",70.33333333,21.25
"mus",70.6,21.16666667
"mus",75.58333333,25.73333333
"mus",70.93333333,22.61666667
"mus",76.76666667,30.36666667
"mus",75.75,29.16666667
"mus",76.26666667,32.43333333
"mus",77.11666667,30.91666667
"mus",75.13333333,32.93333333
"mus",85.81666667,22.56666667
"mus",75.33333333,15.5
"mus",75.61666667,15.41666667
"mus",75.75,12.41666667
"mus",75.51666667,13.93333333
"mus",80.2,21.8
"mus",77.5,22.75
"mus",77.13333333,23.2
"mus",74.73333333,19.08333333
"mus",79.3,19.95
"mus",74.08333333,20.21666667
"mus",73.86666667,18.53333333
"mus",85.23333333,21.91666667
"mus",75.65,32.28333333
"mus",75.85,30.88333333
"mus",75.2,26.91666667
"mus",72.25,25.16666667
"mus",72.78333333,24.48333333
"mus",73.16666667,25.11666667
"mus",73.88333333,29.91666667
"mus",77.33333333,11.25
"mus",78.11666667,9.933333333
"mus",79.83333333,11.01666667
"mus",77.63333333,9.516666667
"mus",79.5,29.83333333
"mus",83.25,26.91666667
"mus",80.35,26.5
"mus",87.25,23.25
"mus",89.91666667,27.75
"mus",71.65,29.38333333
"mus",70.75,28.25
"mus",73.11666667,31.41666667
"mus",74.53333333,32.5
"mus",67.21666667,24.98333333
"mus",75.15,33.73333333
"mus",93.93333333,24.63333333
"mus",79.33333333,30.25
"mus",89.91666667,26.75
"mus",88.5,26.5
"mus",88.66666667,22.5
"mus",88.5,25.5
"mus",93.96666667,26.51666667
"mus",91.25,26.33333333
"mus",76.5,12.3
"mus",77.48333333,10.23333333
"mus",77.5,10.2
"mus",88.25,26.75
"mus",76.81666667,11.35
"mus",96.23333333,28.01666667
"mus",95.66666667,27.83333333
"mus",94.25,26.25
"mus",88.6,27.63333333
"mus",88.4,27.06666667
"mus",72.7,24.6
"mus",77.58333333,12.98333333
"mus",76.66666667,12.58333333
"mus",80.08333333,23.13333333
"mus",74.78333333,20.9
"mus",74.46666667,21.78333333
"mus",76.7,11.4
"mus",86.41666667,23.33333333
"mus",71.46666667,22.98333333
"mus",76.26666667,32.6
"mus",86.13333333,23.96666667
"mus",78.2,26.2
"mus",73.38333333,18.71666667
"mus",80.28333333,13.08333333
"mus",87.5,22.5
"mus",66.58333333,25.75
"mus",67.16666667,25.75
"mus",67.86666667,25.91666667
"mus",67.93333333,24.75
"mus",78.76666667,19.36666667
"mus",79.83333333,10.76666667
"mus",79.5,10.5
"mus",89.13333333,25.96666667
"mus",76.21666667,10.51666667
"mus",85.76666667,20.36666667
"mus",96.25,27.38333333
"mus",96.5,27.53
"mus",91.1822,23.4565
"mus",68.4578,28.2814
"mus",67.05,24.86667
"mus",92.41971,22.04888
"mus",92.45972,22.10944
"mus",91.3965,23.0107
"mus",72.67,35.5
"mus",72.63,34.92
"mus",72.57,35.07
"mus",72.33333,33.75
"mus",72.23333,34.68333
"mus",72.22,34.43
"mus",72.15,35.53
"mus",71.5,33.66667
"mus",67.81667,24.6
"mus",65.23,26.45
"mus",64.58,26.23
"mus",63.47,25.27
"mus",62.65,26.07
"mus",62.32,25.12
"mus",96.9,27.2
"mus",76.66667,11.56667
"mus",76.65,12.3
"mus",78.23333,12.53333
"mus",79.93333,24.85
"mus",93.0586814,27.02458159
"mus",93.90265,27.53904
"nesokia",68.09449,27.36846
"nesokia",85.41666667,25.75
"nesokia",73.88333333,29.91666667
"nesokia",88.5,23.25
"nesokia",78.2,26.2
"nesokia",89.1,25.6
"nesokia",72.4517,32.7022
"nesokia",72.22,34.43
"niviventer",88.6,27.63333333
"niviventer",90.88551053,25.25486954
"niviventer",90.73225687,25.32711072
"niviventer",91.7923955,25.88165031
"niviventer",93.95985,27.53288
"niviventer",93.07896637,26.99619771
"niviventer",96.16666667,28.66666667
"niviventer",93.07926664,27.02865854
"niviventer",93.88622,27.54747
"niviventer",92.67034591,27.04711637
"niviventer",96.9,27.2
"niviventer",92.7797898,27.04325862
"niviventer",92.69893508,27.03389861
"niviventer",96.83333333,27.65
"niviventer",83.7,28.78333333
"niviventer",91.83333333,26.33333333
"niviventer",76.13333333,32.56666667
"niviventer",93.93333333,24.63333333
"niviventer",79.5,29.83333333
"niviventer",88.25,26.75
"niviventer",83.16666667,28.41666667
"niviventer",83.33333333,28.58333333
"niviventer",83.33333333,28.08333333
"niviventer",83.66666667,28.41666667
"niviventer",84.41666667,28.25
"niviventer",84.61666667,28.01666667
"niviventer",94.68333333,27.28333333
"niviventer",95.66666667,27.83333333
"niviventer",94.25,26.25
"niviventer",88.26666667,27.01666667
"niviventer",91.25,26.33333333
"niviventer",95.68333333,27.28333333
"niviventer",87.45664,27.33513
"niviventer",87.28333,27.55
"niviventer",87.26667,27.66667
"niviventer",87.37266,27.30405
"niviventer",87.36692,27.39172
"rattus",88.6,27.73333333
"rattus",91.7757822,25.84936511
"rattus",90.5,25.5
"rattus",90.73225687,25.32711072
"rattus",90.71739964,25.33260074
"rattus",81.25,7
"rattus",80.25,7.75
"rattus",80.5,6.4
